"Ancienneté_an";"Service";"Work_accident";"id_salarié_HMAC";"Contrat";"Taux de travail (%)";"Salaire_mensuel_EQTP";"Augmentation";"Promotion";"Sexe";"Congé maternité A-1";"Age"
"20_29";"COMMERCIAL";"OUI";"nu8zSbfj324GCtOrsZQV7veWwAvZTC3Ow1I8ob4vDk";"CDI";100;8428,12;1;0;"H";0;"50 +"
"10_19";"COMPTA FINANCES";"NON";"vTi0IGODI3z2PYuuGcZkM2Pd5WGZiscMi2fw9Jyi0";"CDI";100;8422,05;0;1;"F";0;"50 +"
"5_9";"COMMERCIAL";"OUI";"MA973YJMtEnWQkAkeLxIxXcxJVf59Grsi8vaEQhNxKM";"CDI";100;8337,12;0;1;"H";0;"30_39"
"5_9";"COMPTA FINANCES";"NON";"bPL2WLgys4FAXwvwCjGoxp5QIhB5sMwmrL7aO25Ck";"CDI";100;8332,57;0;0;"F";0;"30_39"
"10_19";"COMPTA FINANCES";"NON";"qygDzOEc6NsTje2l0pAAQ5MKyvNUIKAJ8V0HTnw5AY";"CDI";100;8328,02;1;0;"F";0;"30_39"
"20_29";"RH";"NON";"GzFQAaLLrgHQImijWYnHoU4oDv1TbgIKzlHT8Q";"CDI";100;8277,97;0;0;"H";0;"30_39"
"10_19";"COMPTA FINANCES";"NON";"AiO9wY9RPCWdXSq4iADb1q7lLWa5SKSJbJ8vtAuUIEM";"CDI";100;8218,82;0;0;"F";0;"50 +"
"10_19";"COMMERCIAL";"OUI";"88MLuU7T7rKx0FjJf5TpuJXwy8NSdM1WD6Pv8oZK8A";"CDI";100;8126,3;1;0;"F";0;"40_49"
"10_19";"RH";"NON";"sLQ0DXUP8eWvRxznFnsLiTeL7ZBcIEcS45pC7Jf67c";"CDI";100;8108,1;0;0;"F";0;"30_39"
"10_19";"COMPTA FINANCES";"NON";"D5GF2Y92U6r89BpkkS36deEWkND14gbrJMUkCtr218k";"CDI";100;8073,22;1;1;"H";0;"40_49"
"20_29";"MARKETING";"NON";"wIfmcdCG5KucDDHfuylMfBROo4S9LDjv5EdnxAKj4E";"CDI";100;8056,53;0;0;"F";0;"40_49"
"10_19";"COMPTA FINANCES";"NON";"d1DsXXCYjRI2wNs5c2dYQMpWklLLDHmvDnjFWMsVBbU";"CDI";100;8056,53;0;1;"F";0;"50 +"
"10_19";"COMMERCIAL";"NON";"JEsS0mB7GaXOgvCoV1Clqv8NgtBnl1rqqllXZyQJ2A";"CDI";100;7942,78;1;0;"F";0;"40_49"
"10_19";"COMMERCIAL";"OUI";"6MV8bn1AcoeFsobNcXJrHh3wsQ7JzwT79HgtBFDD8";"CDI";100;7927,62;1;0;"H";0;"40_49"
"20_29";"COMPTA FINANCES";"OUI";"NGdpM0tlaEucS0Lc8iGNXpGtBzNbJ17LhN5SiMFvDsg";"CDI";100;7898,8;0;0;"F";0;"50 +"
"10_19";"COMPTA FINANCES";"NON";"rSY8suEVv0NU7SA7VwMuaIpwZiusrSCKDn6QoTkZNI4";"CDI";100;7889,7;0;0;"F";0;"30_39"
"20_29";"RH";"NON";"HB4GGnDh2EnpxYvaeexRSSJgaXzm9zshwq8RHpZtU";"CDI";100;7877,57;1;0;"F";0;"40_49"
"10_19";"COMPTA FINANCES";"NON";"BLbif6J0OTggrbIGlGN5siLJgOjlQN694mwJcn0";"CDI";100;7753,2;1;0;"H";0;"40_49"
"10_19";"COMMERCIAL";"OUI";"8q4kZ9C8Ur8uxdWu44riWCbETaaku9i7sb8LOlYgc";"CDI";100;7713,77;1;0;"H";0;"50 +"
"5_9";"RH";"NON";"glALv3tNGFx0iroiSSgsIUQyHMGoagQgTuK4ZhIeMeA";"CDI";100;7710,73;0;0;"H";0;"30_39"
"10_19";"RH";"NON";"U4xt8Mz5ey5QKrWxqOgGOwcWb3txNiTOYttU0lko";"CDI";100;7687,98;0;0;"F";0;"40_49"
"< 5";"CONSULTANT";"NON";"vGreOJK7AMUIVPOYwL7Pmauir6P9U5a0YmeEV69IuHY";"CDI";100;7672,82;1;1;"F";0;"40_49"
"20_29";"INFORMATIQUE";"NON";"8fJwBi1p4oD7BO2YjupkT4hMv6ka3xcirOTZew2bFs";"CDI";100;7654,62;1;0;"H";0;"40_49"
"5_9";"RH";"NON";"kHVQyk0vygcCL5BK9G5D4pOAjJ0906J8rkzp6DKaE9o";"CDI";100;7637,93;1;0;"F";0;"50 +"
"10_19";"MARKETING";"NON";"uHBiWRGILrv7zb4OR8lPjYNaXE7Bhq4u3FxqeROk";"CDI";100;7637,93;0;0;"H";0;"30_39"
"10_19";"COMPTA FINANCES";"NON";"YXpPH7uTXmNDAuorm1GlQn6PjnhD59E8zXiAShwg";"CDI";100;7601,53;1;1;"F";0;"40_49"
"20_29";"COMMERCIAL";"NON";"hfBrSZvxcOMjMWgSgZW2fIXvejzg3gTdeHZjiarqI4";"CDI";100;7496,88;1;0;"F";0;"40_49"
"5_9";"COMPTA FINANCES";"NON";"6HFpLbGA45aejxRE2o0AfGu7G7aAVpWOAB4v1OTc";"CDI";100;7377,07;1;0;"F";0;"50 +"
"5_9";"MARKETING";"NON";"GY3gi2NcIHCgukDWoNqoEn21D4VvquwWacC2NeB9iY";"CDI";80;9198,58;1;0;"H";0;"30_39"
"20_29";"CONSULTANT";"NON";"GJfeqGWPCKwAPoCsi2CkZWWfzk6yNyPSWMH1wF4kc";"CDI";100;7308,82;0;0;"F";0;"30_39"
"5_9";"CONSULTANT";"NON";"fk7W6845Kku3VGdETPFUPeTUnTDUfcsvyITEwF1Cco";"CDI";100;7304,27;1;0;"F";0;"30_39"
"5_9";"CONSULTANT";"NON";"xj9Gaw92ekrvfoU173TaFxPHxGRfUKxpfwQlSnxKok";"CDI";80;9086,35;1;1;"H";0;"50 +"
"10_19";"MARKETING";"NON";"VIG9aKpXyhdXG3GK3IohDlR9R4yUTCRHG3XLlQ3QvFg";"CDI";100;7264,83;0;0;"H";0;"50 +"
"10_19";"RH";"NON";"RCLjngvOOuiCQ1Fj805jszYi0We9IoygrqJ1XWPQwms";"CDI";100;7263,32;1;1;"H";0;"50 +"
"5_9";"COMPTA FINANCES";"NON";"r4xpxIg0N8zPHDth6HnAxNROdZ8ixEj10DCDWwtzOqI";"CDI";100;7185,97;1;0;"H";0;"50 +"
"20_29";"MARKETING";"NON";"2eXCutaWqtj1W7gWAkYfctQFC41LNcKWnBl0TJnHKCs";"CDI";100;7184,45;1;1;"H";0;"40_49"
"5_9";"CONSULTANT";"NON";"fGl5EjerzkZvw04UXE1QXk1K6ZXpHlRaAEadtpbotA4";"CDI";100;7178,38;1;0;"H";0;"30_39"
"< 5";"RH";"NON";"TwvAtCGIzMx8lnIP3UjvzWhmzMSpnRpNJ2ePWGOP3ZY";"CDI";100;7157,15;0;0;"F";0;"30_39"
"5_9";"RH";"OUI";"BnNy5ghlU7Hsn9sZ4MsEa6578CzruUgzSgAOc1o1I";"CDI";100;7148,05;1;0;"F";1;"30_39"
"20_29";"COMMERCIAL";"OUI";"xTZV8KlSeOXzp0eLHamaSSrg4IbktsHX4oKcdIGNTNw";"CDI";100;7098;1;0;"H";0;"40_49"
"20_29";"INFORMATIQUE";"NON";"0Cq8HlDyZOhB5bEs8bRezssu2iXDrk1E4uTHw1Y3Ra4";"CDI";100;7081,32;0;0;"H";0;"50 +"
"10_19";"CONSULTANT";"NON";"BWoXbBYNAzMgnv4t3t3u6gBuWgKADGcC21zjwquau4";"CDI";100;6973,63;0;1;"H";0;"50 +"
"10_19";"COMMERCIAL";"NON";"kNBRYOmGTsF3umDRiNVoG8OITRgmIfp89gYQrfXY0";"CDI";100;6902,35;0;1;"F";0;"30_39"
"20_29";"MARKETING";"NON";"z3TSpeO6YqBaAoAPWtk0GKd1uf6oJXijOyJQbbOvY";"CDI";70;9774,51;1;0;"H";0;"50 +"
"< 5";"COMMERCIAL";"OUI";"CaEAMXHNTBH9Mq8wcsUrL029wFK8SoXyBhZsxNtpGSw";"CDI";100;6838,65;1;0;"F";1;"30_39"
"20_29";"COMMERCIAL";"NON";"uCh6KaWv2UOn9IpK7vnFNT9I3yFK27GvwCyBSXufY";"CDI";100;6818,93;1;0;"F";0;"40_49"
"20_29";"COMPTA FINANCES";"NON";"ZZscqzepS1n2dXYVWV06V7UPVOpHbG9yLTThI7l9Y";"CDI";90;7492,62;0;0;"F";0;"40_49"
"20_29";"CONSULTANT";"OUI";"xdHeMFIeFOrT36xtUPKpSl9Uc9S1hQDe56igFibGt7o";"CDI";100;6591,43;0;0;"F";0;"50 +"
"10_19";"MARKETING";"NON";"L1EuuiSpMQ3VOpAyH5GD4zP31aVXhnblaeLhVZrE";"CDI";100;6583,85;1;0;"F";0;"50 +"
"20_29";"INFORMATIQUE";"NON";"2kVNen1Jm9CP4VPenS9ODxfN5x7NzstJTHSOslkl78";"CDI";100;6526,22;0;1;"H";0;"50 +"
"5_9";"INFORMATIQUE";"OUI";"Ga8QZCItxSn9az8Xc5P9I1OXrzgXYLNlgpW1ThHyA";"CDI";100;6494,37;0;0;"H";0;"40_49"
"5_9";"CONSULTANT";"NON";"pXyhB8LMZMX5Q07qh9giOEjJMh4gX1UgaseXpci0vs";"CDI";100;6413,98;1;0;"F";0;"40_49"
"5_9";"CONSULTANT";"NON";"qCjptbXK8bL6aWXSpbaBM2uZgiIMPrHeMaM4ZhpaQ";"CDI";100;6409,43;0;0;"H";0;"50 +"
"5_9";"CONSULTANT";"NON";"qR52X4S41nV1VfmUAyNlYJmOeoFS0yIfWMjDYSxOE";"CDI";100;6398,82;1;0;"H";0;"40_49"
"< 5";"INFORMATIQUE";"NON";"toqinJ5eupQWRXzGasRNWPyqUQcyuLaMyrw1hGwwD6c";"CDI";100;6356,35;1;0;"F";0;"30_39"
"5_9";"CONSULTANT";"NON";"uxGHIf2g4cYeDjDdEhUcYv1IKI5CFyN5Df0ZMNk";"CDI";100;6301,75;0;0;"F";0;"50 +"
"< 5";"COMMERCIAL";"NON";"I1QJPnlE7kRTaSwcsVKTneTGARg1ZlJjXCZ6COn9A";"CDI";100;6212,27;1;0;"F";0;"40_49"
"10_19";"COMMERCIAL";"NON";"J8c8QK6KdipAbbxOffwrab7LY5JTQkoAEHUfALe88";"CDI";100;6195,58;0;1;"H";0;"40_49"
"20_29";"INFORMATIQUE";"NON";"1bY4AcylUwiSvrMEuVjw6GwFymMdbETFZgNNBlY";"CDI";70;8826,63;0;0;"H";0;"40_49"
"5_9";"RH";"NON";"WwlHxeNZbUKWQIe3QypvUNK8YN30IfhRvzJCBQFWk";"CDI";100;6175,87;0;0;"H";0;"30_39"
"20_29";"COMMERCIAL";"NON";"mqY71A8QyihuxPn7gXZhj8SfSZK4iDP50uD1igzU";"CDI";100;6163,73;1;1;"F";0;"40_49"
"10_19";"COMPTA FINANCES";"NON";"omR5RCPrKvHIZwujQEhfO1kXdjd9kbIE26M73jfQnk";"CDI";100;6127,33;1;1;"F";0;"50 +"
"20_29";"COMMERCIAL";"OUI";"5e9VD0SEJDjcNFf9MqyGJ7iUCkKhp6a7t1EVoFfeHA";"CDI";100;6121,27;0;0;"H";0;"30_39"
"10_19";"CONSULTANT";"NON";"X8iAFc7FYc2D2DxZEM8ZcCACPyOm36CMZ6WDEmSavg0";"CDI";100;6043,92;1;0;"H";0;"40_49"
"10_19";"COMMERCIAL";"OUI";"5VamellWhEAcecBZPJ3Z7aSQfDDPlyStLtf4Fu3UbSk";"CDI";100;6031,78;1;0;"H";0;"40_49"
"20_29";"MARKETING";"OUI";"mCYm9FHP6NLxzQtEclF6Q25SsaMfeesBWqXxT6orQ";"CDI";100;6002,97;1;0;"H";0;"40_49"
"20_29";"COMMERCIAL";"NON";"7vB6fzFH789XIv4zqRNm80VXyt1DrbiPNqg3891JUE";"CDI";100;5984,77;0;0;"H";0;"40_49"
"5_9";"MARKETING";"NON";"T9EEqAwVel1gMPyL7WlHxGioLf2DV5vRCUVt8Xpqw";"CDI";70;8502,74;1;0;"F";0;"50 +"
"10_19";"COMMERCIAL";"NON";"20NeDK9R14yN1pxAJs9o3eZ0akyDFVwkK0uVRxNsU8g";"CDI";100;5949,88;1;0;"H";0;"30_39"
"5_9";"MARKETING";"NON";"Vkg27sFq6qIrjsNGXcA8ObBMCZgXde6uX0r52JrU";"CDI";100;5930,17;0;0;"H";0;"40_49"
"20_29";"COMMERCIAL";"NON";"GLFHLk1AM6jOcSOqXNKBM7vsV1mTnfFOq6WWIvCrGw";"CDI";70;8422,51;1;0;"F";0;"50 +"
"5_9";"CONSULTANT";"NON";"wcaEqacYKQ6EvPANja1kwVTaGD4tJwyc2X1w5fAonU";"CDI";100;5810,35;1;0;"H";0;"30_39"
"20_29";"COMMERCIAL";"NON";"lgceIM4rUbSWXxXM64Gd8cNgJ7Xc5fwkUcdp9C0vQ";"CDI";100;5805,8;0;0;"H";0;"30_39"
"10_19";"COMMERCIAL";"NON";"F3gAsaudQYZF9lTSbmKoRHv32VhSuz7sRwaIvY7ZmmA";"CDI";100;5749,68;0;0;"H";0;"50 +"
"20_29";"CONSULTANT";"NON";"QeTyp6ZEoOMsktwSpW5Mhkb6bnR1DltjFL6MJ6itr8";"CDI";100;5739,07;1;1;"F";0;"50 +"
"10_19";"COMPTA FINANCES";"NON";"eeNf4OEPlY3X6la7XHWHHblTsn8mPDnrwWAuH512fY";"CDI";70;8177,37;1;0;"H";0;"30_39"
"10_19";"CONSULTANT";"NON";"uluhVEBU65WOlAHIZwKCKZudhJ2cdv7qTWDIUCMD44c";"CDI";100;5585,88;1;0;"F";0;"< 30"
"20_29";"COMMERCIAL";"OUI";"AI7oQQfexP6uD6bftl5zoMqFKgLe9RPxfBaClg88";"CDI";100;5581,33;1;1;"F";0;"30_39"
"5_9";"RH";"NON";"gIP5xDKswUmtnKCyLWiP89DUQLL19QInepQimNRyqk";"CDI";100;5522,18;1;0;"F";0;"50 +"
"20_29";"MARKETING";"NON";"7EJwpcJabDjJzkXR60vbotEwe0H5CyrmlOGgf4cOf0";"CDI";100;5517,63;1;1;"H";0;"40_49"
"10_19";"COMMERCIAL";"NON";"j4FHsOgkNagm0yjjwjJkBsq3bdjd4SfOpOChjq0Sk";"CDI";100;5464,55;0;0;"H";0;"40_49"
"5_9";"MARKETING";"NON";"0THVYF4JlIHH8qiQBsmEnYysyEus7YkeC5JNDDkP0E";"CDI";70;7802,97;0;0;"H";0;"30_39"
"10_19";"CONSULTANT";"NON";"el7cigfKOeYYwnL5UT7h2D6JdycB6f8xA5lIgcZ0nk";"CDI";100;5455,45;0;0;"H";0;"50 +"
"5_9";"CONSULTANT";"NON";"sp7WJBlIORZYkbnAEcX86pvkirWMPXYzz7Jy8ydeKnQ";"CDI";70;7783,66;0;0;"H";0;"50 +"
"5_9";"CONSULTANT";"NON";"eDeSnO64moo50a7lL6dSquTeIArkwyS7MobzXth7iE";"CDI";100;5388,72;1;0;"F";0;"40_49"
"10_19";"RH";"NON";"CjHXAE8yitDYmvdfcm79oyhVr2xaIyktzbt7Vu3Yg";"CDI";100;5359,9;1;0;"H";0;"50 +"
"10_19";"RH";"NON";"bFpuefW53xydcivM9gN243NHdkvO8M2gPh2lncrZwE";"CDI";100;5293,17;0;0;"F";0;"50 +"
"< 5";"INFORMATIQUE";"NON";"pgeVVf09eWL56Brkuz9h4mDHtW2MsF3NDw9iR2ly0";"CDI";100;5212,78;0;0;"H";0;"50 +"
"5_9";"RH";"NON";"uyF1LA2DL4Vb1mpkXx6Yblkkcd1AiLUGJ784wSM";"CDI";100;5106,62;0;0;"F";0;"40_49"
"5_9";"CONSULTANT";"NON";"VMqKx21kfWyuPBmzavy8zlymQ9JSVBMpMH1PDvXu2wc";"CDI";80;6371,52;1;0;"H";0;"40_49"
"20_29";"COMMERCIAL";"NON";"Ea0eHvCFWjMHcIIQvj2pRZIeipjtFGFGrWXlmf1cTF4";"CDI";100;5092,97;1;0;"F";0;"40_49"
"< 5";"RH";"NON";"ywFSOymZ6JLpoZxENUIFpaHS2f6THwvH37BP9jfCc";"CDI";100;5076,28;0;0;"F";0;"50 +"
"10_19";"RH";"NON";"ohrQ2Yw6424pWJCIUbFqykTxMHDwVNHA6WUVlWVMMY";"CDI";100;5067,18;1;0;"F";0;"50 +"
"10_19";"RH";"NON";"k5WPlvKebgx3pcM92TaANGHpWwMaAPFyy6B6PGD7E";"CDI";100;5056,57;1;0;"F";1;"30_39"
"20_29";"RH";"NON";"JIck9LvMBs0DabklDFvpI6WO98EAN81r8ZrBRuFHiQ";"CDI";100;5035,33;0;0;"H";0;"50 +"
"20_29";"COMPTA FINANCES";"NON";"IG1cQK4P5RXv46SIaR1oykpPRP4Wo0apTPaYZcY8Y";"CDI";100;4988,32;0;0;"H";0;"50 +"
"10_19";"COMMERCIAL";"OUI";"dsyHusFAaQu28MpNKAdhUnoeteaYgZdVFZuNTynKys";"CDI";70;7106,17;0;0;"F";0;"50 +"
"5_9";"COMMERCIAL";"NON";"NEbEk93cOvbI4mWkvHCNsB06YDZ2cuLCuBkEsxHk5C0";"CDI";70;6975,43;1;0;"F";0;"50 +"
"20_29";"RH";"NON";"epwjavVE81L5XWBeA5zt21shpSRgoSnZllP5spc4w";"CDI";70;6930,86;0;0;"F";0;"30_39"
"5_9";"CONSULTANT";"NON";"JWTVHt0HfxlCQs3ocRnO9mdZDQ5YZko39jNASN4ywY";"CDI";70;6850,63;0;1;"H";0;"30_39"
"10_19";"MARKETING";"NON";"AjxtsyHLVenn7pOYHteVxM6znn3Va84AVkfEhYW50g";"CDI";100;4763,85;1;0;"F";0;"30_39"
"10_19";"CONSULTANT";"NON";"RRjMqGMmnbMPV7KFbBA6ZLnXh0J2TZpqxrqOUbsHk";"CDI";100;4712,28;1;0;"F";0;"40_49"
"20_29";"INFORMATIQUE";"OUI";"z8zBB10ZEt1wXx9TjZ1jWCDImeaOfLH7hfnRHEmkYNs";"CDI";100;4663,75;0;0;"F";0;"50 +"
"10_19";"MARKETING";"NON";"t9JagO4qbkWTk1i8BaMQicE3Yv0Cnqoyi5KmpdtUx7Y";"CDI";100;4624,32;0;0;"H";0;"40_49"
"10_19";"MARKETING";"OUI";"D8GJLbxxn8vra36HqEbbk0UxKaKsuUpVizZ2MbTSM8k";"CDI";100;4563,65;1;0;"F";0;"40_49"
"10_19";"CONSULTANT";"NON";"axQWyH43NaSbPMzWLexkf2RLizIiCL0kRbEMAn6zj8";"CDI";100;4516,63;1;0;"F";0;"40_49"
"5_9";"RH";"NON";"2KkUCwZYVS6d751TYBqdOlUIOTSGNrPdARADr70Cw";"CDI";100;4499,95;1;0;"H";0;"50 +"
"< 5";"CONSULTANT";"NON";"81c9karNZ0j0pPFxUvja62zGCNQqkln6Pd1unbAA";"CDI";100;4449,9;1;0;"H";0;"50 +"
"20_29";"MARKETING";"NON";"HWmHBC5AwxNsFOEUzSFiy6dPNyMvALzF6lxOqd4cUNI";"CDI";100;4424,12;0;0;"F";0;"40_49"
"10_19";"COMPTA FINANCES";"NON";"w6Qb7U5U0jWd43uRfCRuG8iJpwAPumRJqKcQLBCc";"CDI";100;4421,08;1;1;"H";0;"50 +"
"10_19";"CONSULTANT";"NON";"gvaXTwOhGvRtBb3kuwjfEYaqEXZwwBEgUWS6Qyswc";"CDI";100;4296,72;0;0;"H";0;"50 +"
"10_19";"CONSULTANT";"NON";"cRsLV9xUL0MHhfZ9DBZ8kepB2pqG5w377vxTSXUEDR8";"CDI";100;4289,13;0;1;"F";0;"50 +"
"5_9";"CONSULTANT";"NON";"4WNjI8xmBox6lqT2uVFOj7uhz37N0iXGOzLC3VA";"CDI";100;4281,55;1;0;"H";0;"30_39"
"10_19";"COMPTA FINANCES";"NON";"qgjUDil7I4l9XyEBdDwmVdkqaWwwwSW4l0FGwIhDE";"CDI";100;4263,35;0;0;"H";0;"50 +"
"5_9";"COMPTA FINANCES";"NON";"v5UB85nbbN5Xc0gDt3HDTaYkQUXyiK6Tm1keAR5DlI";"CDI";100;4204,2;1;0;"F";0;"50 +"
"< 5";"COMPTA FINANCES";"NON";"xFOC5lWe82g3w5976n6vnawAL9HnkbeQvZoBOzvPdQ";"CDI";100;4198,13;1;0;"F";0;"30_39"
"20_29";"INFORMATIQUE";"NON";"uIVFHPjpJ4b7rX0sLxzPUqrBDEsyQxmg3BGfP3g";"CDI";70;5950,29;0;0;"H";0;"50 +"
"10_19";"COMMERCIAL";"OUI";"ofOfLA0Hk4BYzvyBdML7blEGiJrrdbb3UmN0dQus";"CDI";100;4152,63;1;0;"F";0;"40_49"
"20_29";"CONSULTANT";"NON";"Oxh26OhGVSWwGc4JEaaoPsyrM4uFW5m5H2DHyU";"CDI";100;4134,43;0;0;"H";0;"40_49"
"5_9";"RH";"NON";"T3gJOnbvMILBFN927mcWklkGUcBoViRKFznzvuA523k";"CDI";70;5881,94;1;0;"F";0;"50 +"
"20_29";"MARKETING";"NON";"ZoJtGwgGYCa2yygddsmKkWK8tNiQw9yd1ZyeiteUVY";"CDI";100;4082,87;0;0;"F";0;"40_49"
"10_19";"MARKETING";"NON";"wr4pJOBiaKyoJ43NEcZ8t3jSxJlmJ5oHBYKRtD33E";"CDI";100;4022,2;0;0;"H";0;"50 +"
